question_id,skill_name,question_text,reference_answer,keywords,difficulty_level
44,Data Structures,Design an algorithm to find the median of a stream of numbers in real time.,"Maintaining two heaps works well: one holding the smaller half of the numbers seen so far, and one holding the larger half, kept balanced so their sizes differ by at most one. The value in question is then either the root of the larger heap, or the average of both roots when they're equal in size - giving O(1) time to read it and O(log n) time to insert each new number.","[{""term"": ""max-heap"", ""tier"": ""critical"", ""aliases"": [""max heap""]}, {""term"": ""min-heap"", ""tier"": ""supporting"", ""aliases"": [""min heap""]}, {""term"": ""streaming data"", ""tier"": ""supporting"", ""aliases"": [""data stream""]}, {""term"": ""balanced heaps"", ""tier"": ""supporting"", ""aliases"": []}, {""term"": ""heap rebalancing"", ""tier"": ""supporting"", ""aliases"": []}]",0.9
45,Data Structures,"Design an efficient algorithm to find the shortest path in a weighted graph with possibly negative edge weights, and explain why Dijkstra's algorithm fails here.","Dijkstra's approach greedily picks the closest unvisited node at each step, assuming a node's shortest distance can never improve once finalized - an assumption that breaks down with negative weights, since a longer path through one could later reduce the total distance. Bellman-Ford instead relaxes every edge repeatedly, V-1 times, running in O(VE), which correctly handles negative weights and can also detect negative cycles, at the cost of being slower.","[{""term"": ""Bellman-Ford"", ""tier"": ""critical"", ""aliases"": [""bellman ford algorithm""]}, {""term"": ""negative weights"", ""tier"": ""supporting"", ""aliases"": []}, {""term"": ""negative cycle"", ""tier"": ""supporting"", ""aliases"": [""negative weight cycle""]}, {""term"": ""greedy algorithm"", ""tier"": ""supporting"", ""aliases"": []}, {""term"": ""edge relaxation"", ""tier"": ""supporting"", ""aliases"": []}]",1.0
46,System Design,What is the difference between a monolithic architecture and a microservices architecture?,"One packages all of an application's functionality into a single deployable unit sharing one codebase, database, and process. The other splits functionality into separate, independently deployable services that communicate with each other over a network, typically via APIs or messaging.","[{""term"": ""independent deployment"", ""tier"": ""supporting"", ""aliases"": []}, {""term"": ""shared database"", ""tier"": ""supporting"", ""aliases"": []}]",0.1
47,System Design,What is the difference between vertical and horizontal scaling?,"One means adding more resources - CPU, RAM, or disk - to a single existing machine. The other means adding more machines and spreading load across them. The former is simpler but eventually hits a hardware ceiling and creates a single point of failure, while the latter can grow much further but adds complexity around distributing load and keeping data consistent across nodes.","[{""term"": ""vertical scaling"", ""tier"": ""critical"", ""aliases"": [""scale up"", ""scaling up""]}, {""term"": ""scale up"", ""tier"": ""supporting"", ""aliases"": [""vertical scaling""]}, {""term"": ""scale out"", ""tier"": ""supporting"", ""aliases"": []}, {""term"": ""cost ceiling"", ""tier"": ""supporting"", ""aliases"": []}, {""term"": ""single point of failure"", ""tier"": ""supporting"", ""aliases"": []}]",0.15
48,System Design,What is caching and why is it used in system design?,"Frequently accessed data is stored in a faster-access layer, often in memory, positioned in front of a slower backend or database. This cuts response times for repeated requests and reduces load on that backend, at the cost of needing a strategy to keep the cached data reasonably fresh.","[{""term"": ""latency"", ""tier"": ""critical"", ""aliases"": [""response time"", ""delay""]}, {""term"": ""cache hit"", ""tier"": ""supporting"", ""aliases"": [""cache hits""]}, {""term"": ""cache miss"", ""tier"": ""supporting"", ""aliases"": [""cache misses""]}, {""term"": ""backend load"", ""tier"": ""supporting"", ""aliases"": []}, {""term"": ""TTL"", ""tier"": ""supporting"", ""aliases"": [""time to live"", ""cache expiration""]}]",0.2
49,System Design,"What is the difference between a relational and a NoSQL database, and when might you choose one over the other?","One enforces a structured schema, uses SQL, and typically provides strong consistency and transactional guarantees. The other offers a flexible or schema-less data model and scales horizontally more easily, often relaxing strict consistency in favor of availability. The former fits well-structured data with complex relationships and transactions, while the latter fits large-scale, rapidly evolving, or loosely structured data.","[{""term"": ""relational database"", ""tier"": ""critical"", ""aliases"": [""rdbms""]}, {""term"": ""schema"", ""tier"": ""supporting"", ""aliases"": [""data schema""]}, {""term"": ""scalability"", ""tier"": ""supporting"", ""aliases"": [""scalable"", ""ability to scale""]}, {""term"": ""strong consistency"", ""tier"": ""supporting"", ""aliases"": []}, {""term"": ""ACID vs BASE"", ""tier"": ""supporting"", ""aliases"": []}]",0.25
50,System Design,What is a CDN and how does it improve performance for a web application?,"Static assets, such as images, CSS, and JavaScript, are cached on servers positioned geographically close to end users. This reduces the round-trip delay compared to fetching everything from one central server, and it offloads a large share of traffic away from that server.","[{""term"": ""edge server"", ""tier"": ""critical"", ""aliases"": [""edge node"", ""edge location""]}, {""term"": ""latency"", ""tier"": ""supporting"", ""aliases"": [""response time"", ""delay""]}, {""term"": ""static assets"", ""tier"": ""supporting"", ""aliases"": [""static files"", ""static content""]}, {""term"": ""origin server"", ""tier"": ""supporting"", ""aliases"": []}, {""term"": ""geo-distribution"", ""tier"": ""supporting"", ""aliases"": []}]",0.3
51,System Design,Explain the role of a load balancer in a distributed system.,"It sits in front of multiple servers and spreads incoming traffic across them, preventing any single server from being overloaded and improving overall availability, since traffic simply reroutes if one goes down. Common strategies include cycling through servers in order, or sending each request to whichever server currently has the fewest active connections.","[{""term"": ""round robin"", ""tier"": ""critical"", ""aliases"": [""round-robin algorithm""]}, {""term"": ""least connections"", ""tier"": ""supporting"", ""aliases"": [""least connections algorithm""]}, {""term"": ""availability"", ""tier"": ""supporting"", ""aliases"": [""uptime"", ""high availability""]}, {""term"": ""traffic distribution"", ""tier"": ""supporting"", ""aliases"": []}, {""term"": ""health check"", ""tier"": ""supporting"", ""aliases"": []}]",0.4
52,System Design,What is database replication and what problem does it solve?,"Copying data across multiple database nodes improves read throughput, since reads can be spread across replicas, and improves availability, since a replica can take over if the primary fails. A typical setup has one primary handling writes and one or more replicas handling reads, with copying happening either synchronously, for stronger consistency at the cost of latency, or asynchronously, for lower latency at the cost of possibly serving slightly stale data.","[{""term"": ""master-replica"", ""tier"": ""critical"", ""aliases"": [""primary-replica"", ""leader-follower""]}, {""term"": ""availability"", ""tier"": ""supporting"", ""aliases"": [""uptime"", ""high availability""]}, {""term"": ""read throughput"", ""tier"": ""supporting"", ""aliases"": [""read performance"", ""read scalability""]}, {""term"": ""failover"", ""tier"": ""supporting"", ""aliases"": []}, {""term"": ""replication lag"", ""tier"": ""supporting"", ""aliases"": []}]",0.45
53,System Design,How would you design a URL shortening service?,"A short, unique key can be generated either by hashing the original URL and truncating the result, or by encoding an auto-incrementing database ID in base62, then storing the key-to-URL mapping in a database. When the shortened link is requested, the service looks up the key and issues an HTTP redirect to the original address. Extra considerations include supporting custom aliases, handling key collisions, and tracking click analytics.","[{""term"": ""URL shortener"", ""tier"": ""critical"", ""aliases"": []}, {""term"": ""base62 encoding"", ""tier"": ""critical"", ""aliases"": [""base 62 encoding""]}, {""term"": ""hashing"", ""tier"": ""supporting"", ""aliases"": [""hash-based encoding""]}, {""term"": ""redirect"", ""tier"": ""supporting"", ""aliases"": [""http redirect"", ""redirection""]}, {""term"": ""unique key generation"", ""tier"": ""supporting"", ""aliases"": []}, {""term"": ""key collision handling"", ""tier"": ""supporting"", ""aliases"": []}]",0.5
54,System Design,What is the CAP theorem and what tradeoffs does it describe?,"In a distributed system, you can only fully guarantee two of the three properties Consistency, Availability, and Partition tolerance at once. Since network partitions are essentially unavoidable in any real distributed system, partition tolerance is treated as a given, meaning the real tradeoff most systems make is between the other two whenever a partition actually occurs.","[{""term"": ""consistency"", ""tier"": ""critical"", ""aliases"": [""data consistency""]}, {""term"": ""availability"", ""tier"": ""supporting"", ""aliases"": [""uptime"", ""high availability""]}, {""term"": ""partition tolerance"", ""tier"": ""supporting"", ""aliases"": [""network partition tolerance""]}, {""term"": ""network partition"", ""tier"": ""supporting"", ""aliases"": []}, {""term"": ""eventual consistency"", ""tier"": ""supporting"", ""aliases"": []}]",0.55
55,System Design,"How would you design a notification system that supports email, SMS, and push notifications?","A queue decouples the services that trigger messages from the services that actually deliver them, so a spike in one channel doesn't block the others. Separate worker services handle each channel independently, pulling from the queue and calling the relevant third-party provider. Failed deliveries are retried with backoff, and messages that repeatedly fail are routed aside for inspection, while a single unified interface lets other services trigger messages without needing to know the delivery details.","[{""term"": ""message queue"", ""tier"": ""critical"", ""aliases"": [""queueing system"", ""message broker""]}, {""term"": ""retry"", ""tier"": ""supporting"", ""aliases"": [""retry logic"", ""retry mechanism""]}, {""term"": ""dead-letter queue"", ""tier"": ""supporting"", ""aliases"": [""dlq"", ""dead letter queue""]}, {""term"": ""decoupling producers and consumers"", ""tier"": ""supporting"", ""aliases"": []}, {""term"": ""idempotency"", ""tier"": ""supporting"", ""aliases"": []}]",0.6
56,System Design,Explain how you would design a rate limiter for an API.,"One common algorithm has each request consume a token from a bucket that refills at a fixed rate; another tracks request counts over a moving time window for smoother enforcement than a fixed window would give. The check can live at the API gateway, rejecting excess traffic before it reaches application servers, or within the application itself for finer-grained control. In a distributed system, the counters need to live somewhere shared and fast, such as an in-memory store like Redis, so limits are enforced consistently across all instances.","[{""term"": ""token bucket"", ""tier"": ""critical"", ""aliases"": [""token bucket algorithm""]}, {""term"": ""sliding window"", ""tier"": ""supporting"", ""aliases"": [""sliding window algorithm"", ""sliding window counter""]}, {""term"": ""Redis"", ""tier"": ""supporting"", ""aliases"": [""in-memory store"", ""redis cache""]}, {""term"": ""api gateway"", ""tier"": ""supporting"", ""aliases"": []}, {""term"": ""leaky bucket"", ""tier"": ""supporting"", ""aliases"": []}]",0.7
57,System Design,How would you design a distributed job scheduling system that reliably runs millions of scheduled tasks?,"Work can be split across multiple worker nodes so no single one becomes a bottleneck, with a durable, persistent store recording each task's schedule and status. Coordinated locking prevents two workers from picking up and running the same task at once. Failures are retried with backoff, and monitoring tracks tasks that are missed, stuck, or repeatedly failing so they can be surfaced and investigated.","[{""term"": ""job scheduler"", ""tier"": ""critical"", ""aliases"": [""task scheduler""]}, {""term"": ""distributed locking"", ""tier"": ""critical"", ""aliases"": [""distributed lock""]}, {""term"": ""partitioning"", ""tier"": ""supporting"", ""aliases"": [""sharding"", ""data partitioning""]}, {""term"": ""retry backoff"", ""tier"": ""supporting"", ""aliases"": [""exponential backoff"", ""backoff strategy""]}, {""term"": ""double execution prevention"", ""tier"": ""supporting"", ""aliases"": []}, {""term"": ""cron-like scheduling"", ""tier"": ""supporting"", ""aliases"": [""cron""]}]",0.8
58,System Design,How would you design a globally distributed database that stays consistent across regions?,"Data is copied across multiple regions so it stays close to users and survives a regional outage. A protocol like Paxos or Raft keeps replicas agreeing on the order of writes despite failures or network delays. Because concurrent writes to the same data in different regions can conflict, the system needs a strategy for resolving that, and the choice between strong and eventual consistency is a direct tradeoff against the latency users experience.","[{""term"": ""multi-region"", ""tier"": ""critical"", ""aliases"": [""multi region"", ""cross-region""]}, {""term"": ""consensus"", ""tier"": ""critical"", ""aliases"": [""consensus algorithm"", ""consensus protocol""]}, {""term"": ""Paxos"", ""tier"": ""supporting"", ""aliases"": [""paxos protocol""]}, {""term"": ""Raft"", ""tier"": ""supporting"", ""aliases"": [""raft protocol"", ""raft consensus""]}, {""term"": ""conflict resolution"", ""tier"": ""supporting"", ""aliases"": []}, {""term"": ""quorum"", ""tier"": ""supporting"", ""aliases"": []}]",0.85
59,System Design,Design a scalable system for a real time chat application supporting millions of concurrent users.,"A persistent, bidirectional connection keeps a real-time channel open between clients and servers for message delivery. A queue sits behind this to ensure reliable delivery even if a consumer is temporarily slow or down. To scale connection handling across many servers, either routing a user consistently to the same server, or a publish/subscribe layer letting any server broadcast to any connected client, is needed. A separate database handles persistent history, and knowing who's currently online is typically tracked with a fast in-memory store.","[{""term"": ""WebSocket"", ""tier"": ""critical"", ""aliases"": [""websockets"", ""web socket""]}, {""term"": ""message queue"", ""tier"": ""critical"", ""aliases"": [""queueing system"", ""message broker""]}, {""term"": ""pub/sub"", ""tier"": ""critical"", ""aliases"": [""publish subscribe"", ""publish-subscribe""]}, {""term"": ""horizontal scaling"", ""tier"": ""supporting"", ""aliases"": [""scale out"", ""scaling out""]}, {""term"": ""presence"", ""tier"": ""supporting"", ""aliases"": [""presence tracking"", ""online status""]}, {""term"": ""sticky sessions"", ""tier"": ""supporting"", ""aliases"": []}, {""term"": ""message ordering"", ""tier"": ""supporting"", ""aliases"": []}]",0.9
60,System Design,Design a system like a ride-sharing app's real-time driver matching engine at global scale.,"Nearby drivers can be found quickly using proximity-grouping techniques like geohashing or quad-trees, which group locations so a search doesn't have to scan every driver. Locations are updated continuously through a real-time streaming pipeline. The matching logic itself balances multiple factors - distance to the rider, estimated wait time, and current demand-based pricing - rather than just picking the closest option. At global scale, the system is typically split regionally so matching happens against a local subset rather than one global pool.","[{""term"": ""geospatial indexing"", ""tier"": ""critical"", ""aliases"": [""spatial indexing""]}, {""term"": ""geohashing"", ""tier"": ""critical"", ""aliases"": [""geohash""]}, {""term"": ""real-time matching"", ""tier"": ""supporting"", ""aliases"": [""realtime matching""]}, {""term"": ""surge pricing"", ""tier"": ""supporting"", ""aliases"": [""dynamic pricing""]}, {""term"": ""nearby lookup"", ""tier"": ""supporting"", ""aliases"": []}, {""term"": ""ETA calculation"", ""tier"": ""supporting"", ""aliases"": []}]",1.0
61,SQL,What does SQL stand for and what is it used for?,"It stands for Structured Query Language, and it's used to define database schemas and to query, insert, update, and delete data stored in relational databases.","[{""term"": ""relational database"", ""tier"": ""critical"", ""aliases"": [""rdbms"", ""sql database""]}, {""term"": ""query language"", ""tier"": ""supporting"", ""aliases"": [""query languages""]}, {""term"": ""data definition language"", ""tier"": ""supporting"", ""aliases"": []}, {""term"": ""DML"", ""tier"": ""supporting"", ""aliases"": [""data manipulation language""]}]",0.1
62,SQL,What is the difference between a primary key and a foreign key?,"One uniquely identifies each row in a table and cannot contain a null value. The other is a column, or set of columns, in one table that references the unique identifier of another table, enforcing referential integrity by ensuring the referenced row actually exists.","[{""term"": ""referential integrity"", ""tier"": ""supporting"", ""aliases"": [""referential constraint""]}, {""term"": ""unique identifier"", ""tier"": ""supporting"", ""aliases"": []}, {""term"": ""composite key"", ""tier"": ""supporting"", ""aliases"": []}]",0.15
63,SQL,"What is the difference between DELETE, TRUNCATE, and DROP?","The first removes rows one at a time based on an optional condition, is fully logged, and can be rolled back within a transaction. The second removes every row from a table at once with minimal logging, making it much faster, but it can't be filtered with a condition. The third removes the entire table structure itself, including its schema, indexes, and data.","[{""term"": ""rollback"", ""tier"": ""supporting"", ""aliases"": []}, {""term"": ""auto-increment reset"", ""tier"": ""supporting"", ""aliases"": []}]",0.2
64,SQL,"What is a GROUP BY clause used for, and how does it interact with aggregate functions?","Rows sharing the same value in one or more specified columns are grouped into a single result row per group. Aggregate functions are then applied within each group separately rather than across the entire table, letting you compute per-category totals or averages.","[{""term"": ""COUNT"", ""tier"": ""supporting"", ""aliases"": [""count function""]}, {""term"": ""SUM"", ""tier"": ""supporting"", ""aliases"": [""sum function""]}, {""term"": ""per group aggregation"", ""tier"": ""supporting"", ""aliases"": []}, {""term"": ""HAVING clause"", ""tier"": ""supporting"", ""aliases"": []}]",0.25
65,SQL,What is the difference between WHERE and HAVING clauses?,"One filters individual rows before any grouping or aggregation happens, so it can't reference the result of an aggregate function. The other filters after rows have been grouped and aggregated, so it's used specifically to filter based on the result of something like a count or sum.","[{""term"": ""filtering"", ""tier"": ""supporting"", ""aliases"": [""filter rows""]}, {""term"": ""aggregation"", ""tier"": ""supporting"", ""aliases"": [""aggregating data""]}, {""term"": ""post-aggregation filter"", ""tier"": ""supporting"", ""aliases"": []}, {""term"": ""execution order"", ""tier"": ""supporting"", ""aliases"": []}]",0.3
66,SQL,Explain the difference between INNER JOIN and LEFT JOIN.,"One returns only the rows that have matching values in both tables being joined. The other returns every row from the left table, along with matching rows from the right table where they exist, filling in NULL for the right table's columns when there's no match.","[{""term"": ""NULL"", ""tier"": ""supporting"", ""aliases"": [""explicit empty value""]}, {""term"": ""join types"", ""tier"": ""supporting"", ""aliases"": [""types of joins""]}, {""term"": ""unmatched rows"", ""tier"": ""supporting"", ""aliases"": []}, {""term"": ""RIGHT JOIN"", ""tier"": ""supporting"", ""aliases"": []}]",0.4
67,SQL,What is a subquery and when might you use one instead of a JOIN?,"This is a query nested inside another query, often used to filter results based on an aggregated or derived value that would be awkward to express directly in a single join - for example, finding rows above an average computed elsewhere. Joins are generally more performant when you need to combine and return full row sets from multiple tables, since the database can optimize them more effectively than a nested query.","[{""term"": ""nested query"", ""tier"": ""critical"", ""aliases"": [""query within a query""]}, {""term"": ""correlated subquery"", ""tier"": ""supporting"", ""aliases"": [""correlated sub-query""]}, {""term"": ""derived values"", ""tier"": ""supporting"", ""aliases"": []}, {""term"": ""EXISTS clause"", ""tier"": ""supporting"", ""aliases"": []}]",0.45
68,SQL,What is database normalization and why is it important?,"Tables are organized to minimize data redundancy and protect integrity, typically through a series of normal forms. The first requires atomic column values with no repeating groups; the second removes partial dependencies on part of a composite key; the third removes dependencies between non-key columns. Splitting related data into separate tables this way prevents update anomalies, where the same fact stored in multiple places can end up inconsistent after an edit.","[{""term"": ""normal forms"", ""tier"": ""critical"", ""aliases"": [""nf""]}, {""term"": ""1NF"", ""tier"": ""critical"", ""aliases"": [""first normal form""]}, {""term"": ""2NF"", ""tier"": ""supporting"", ""aliases"": [""second normal form""]}, {""term"": ""3NF"", ""tier"": ""supporting"", ""aliases"": [""third normal form""]}, {""term"": ""redundancy"", ""tier"": ""supporting"", ""aliases"": [""data redundancy"", ""duplicate data""]}, {""term"": ""update anomalies"", ""tier"": ""supporting"", ""aliases"": []}, {""term"": ""denormalization tradeoff"", ""tier"": ""supporting"", ""aliases"": []}]",0.5
69,SQL,What is a database transaction and what do the ACID properties mean?,"A sequence of operations executed as a single, indivisible unit - either all of them succeed or none do. The four guarantees such a unit should provide are atomicity (all-or-nothing execution), consistency (moving from one valid state to another), isolation (concurrent operations don't interfere with each other's intermediate results), and durability (committed changes survive even a crash).","[{""term"": ""atomicity"", ""tier"": ""critical"", ""aliases"": [""atomic""]}, {""term"": ""consistency"", ""tier"": ""supporting"", ""aliases"": [""data consistency""]}, {""term"": ""isolation"", ""tier"": ""supporting"", ""aliases"": [""isolation level""]}, {""term"": ""durability"", ""tier"": ""supporting"", ""aliases"": [""durable""]}, {""term"": ""concurrency control"", ""tier"": ""supporting"", ""aliases"": []}, {""term"": ""commit and rollback"", ""tier"": ""supporting"", ""aliases"": []}]",0.55
70,SQL,What is a database view and what are its common use cases?,"This is a virtual table defined by a stored query - it doesn't store data itself but presents the result of that query as if it were a table. Common use cases include simplifying repeated complex joins, restricting which columns or rows certain users can see, and providing a stable interface to consumers even as the underlying tables evolve.","[{""term"": ""virtual table"", ""tier"": ""critical"", ""aliases"": [""virtual view""]}, {""term"": ""abstraction"", ""tier"": ""supporting"", ""aliases"": [""abstraction layer""]}, {""term"": ""stored query"", ""tier"": ""supporting"", ""aliases"": []}, {""term"": ""materialized view"", ""tier"": ""supporting"", ""aliases"": []}]",0.6
71,SQL,Explain how indexing improves query performance and its tradeoffs.,"An auxiliary structure, commonly a B-tree, lets the database locate matching rows directly instead of scanning the entire table row by row. This significantly speeds up reads, but every write now also has to update that structure, which slows writes down and uses additional storage.","[{""term"": ""B-tree"", ""tier"": ""critical"", ""aliases"": [""btree"", ""b tree""]}, {""term"": ""write overhead"", ""tier"": ""supporting"", ""aliases"": [""write penalty"", ""write cost""]}, {""term"": ""read vs write tradeoff"", ""tier"": ""supporting"", ""aliases"": []}, {""term"": ""composite index"", ""tier"": ""supporting"", ""aliases"": []}]",0.7
72,SQL,"What is the difference between optimistic and pessimistic locking, and when would you use each?","One locks a resource as soon as it's about to be modified, blocking other transactions from touching it until the lock releases - safer under high contention but reduces concurrency since operations queue up. The other lets multiple transactions proceed concurrently without locking anything up front, instead checking for conflicts at commit time, often via a version column that's compared and incremented on each update. The latter fits low-contention workloads well since it avoids locking overhead, while the former is preferable when conflicts are frequent and retries would be costly.","[{""term"": ""optimistic locking"", ""tier"": ""critical"", ""aliases"": [""optimistic concurrency control""]}, {""term"": ""version column"", ""tier"": ""supporting"", ""aliases"": [""version number"", ""row version""]}, {""term"": ""concurrency"", ""tier"": ""supporting"", ""aliases"": [""concurrent execution""]}, {""term"": ""conflict detection"", ""tier"": ""supporting"", ""aliases"": []}, {""term"": ""deadlock"", ""tier"": ""supporting"", ""aliases"": []}]",0.8
73,SQL,How would you design a database schema and query strategy to efficiently support full-text search on millions of rows?,"Dedicated indexing is the standard approach - either using the database's own capability, like Postgres's GIN index over a tsvector column, or offloading search entirely to a specialized engine like Elasticsearch. Keeping search inside the primary database is simpler and avoids operating a second system, but a dedicated engine typically scales and ranks results better at large volumes. Going with a separate engine means needing a reliable way to keep it in sync with the primary database, such as change data capture or periodic reindexing.","[{""term"": ""GIN index"", ""tier"": ""critical"", ""aliases"": [""generalized inverted index""]}, {""term"": ""tsvector"", ""tier"": ""supporting"", ""aliases"": [""text search vector""]}, {""term"": ""Elasticsearch"", ""tier"": ""supporting"", ""aliases"": [""elastic search""]}, {""term"": ""search engine sync"", ""tier"": ""supporting"", ""aliases"": []}, {""term"": ""ranking relevance"", ""tier"": ""supporting"", ""aliases"": []}]",0.85
74,SQL,How would you design a database schema to handle high write throughput while maintaining consistency?,"Splitting data horizontally across multiple database instances distributes writes rather than sending them all to one machine. Denormalizing the schema reduces the number of joins needed, speeding up both reads and writes at the cost of some redundancy. Batching multiple writes into fewer round trips reduces overhead, and choosing a lighter isolation level, or accepting eventual consistency where strict consistency isn't actually required, reduces the coordination cost of concurrent writes.","[{""term"": ""sharding"", ""tier"": ""critical"", ""aliases"": [""horizontal partitioning"", ""database sharding""]}, {""term"": ""denormalization"", ""tier"": ""supporting"", ""aliases"": [""denormalizing""]}, {""term"": ""isolation level"", ""tier"": ""supporting"", ""aliases"": [""transaction isolation level""]}, {""term"": ""eventual consistency"", ""tier"": ""supporting"", ""aliases"": []}, {""term"": ""write-ahead log"", ""tier"": ""supporting"", ""aliases"": []}]",0.9
75,SQL,Design a database architecture for a system requiring both strong consistency for financial transactions and high read throughput for reporting and analytics.,"A common design separates two systems: a normalized, ACID-compliant store handling the transactions with the correctness guarantees they require, and a separate, denormalized warehouse or set of read replicas optimized for the heavy read patterns of reporting and analytics. Change data capture or ETL pipelines keep the second system in sync with the first, while the isolation level on the transactional side is tuned to guarantee correctness without sacrificing more throughput than necessary.","[{""term"": ""OLTP"", ""tier"": ""critical"", ""aliases"": [""online transaction processing""]}, {""term"": ""OLAP"", ""tier"": ""critical"", ""aliases"": [""online analytical processing""]}, {""term"": ""CDC"", ""tier"": ""critical"", ""aliases"": [""change data capture""]}, {""term"": ""ETL"", ""tier"": ""supporting"", ""aliases"": [""extract transform load""]}, {""term"": ""data warehouse"", ""tier"": ""supporting"", ""aliases"": [""warehouse"", ""analytics warehouse""]}, {""term"": ""read replicas"", ""tier"": ""supporting"", ""aliases"": []}, {""term"": ""star schema"", ""tier"": ""supporting"", ""aliases"": []}]",1.0
